region,drug_name,drug_category,items_prescribed,cost,deprivation_score,shortage_incidents,pharmacy_density,year
Newcastle-under-Lyme,Amlodipine,Cardiovascular,552,3068.3,25,43,2.31,2023
East Staffordshire,Losartan,Cardiovascular,292,949.53,17,75,2.5,2023
Stoke-on-Trent,Paracetamol,General Medicine,553,2922.39,15,218,2.27,2023
Newcastle-under-Lyme,Citalopram,Mental Health,349,2721.68,14,109,2.46,2024
Stoke-on-Trent,Furosemide,Cardiovascular,139,2587.29,23,103,1.31,2023
East Staffordshire,Lansoprazole,General Medicine,59,4666.87,14,190,1.91,2023
Newcastle-under-Lyme,Levothyroxine,General Medicine,378,3454.4,26,48,1.97,2023
Cannock Chase,Cetirizine,General Medicine,285,1809.45,27,117,2.41,2024
Stoke-on-Trent,Salbutamol,General Medicine,345,1104.51,17,50,2.23,2023
East Staffordshire,Losartan,Cardiovascular,428,4143.15,23,193,2.38,2022
East Staffordshire,Co-codamol,General Medicine,471,3446.61,10,62,1.77,2022
Stafford and Surroundings,Co-codamol,General Medicine,153,1841.28,28,78,1.35,2023
Cannock Chase,Metformin,General Medicine,64,3175.77,24,196,1.84,2023
Stoke-on-Trent,Quetiapine,Mental Health,146,2908.44,14,194,2.17,2023
East Staffordshire,Atorvastatin,Cardiovascular,167,2892.46,15,180,1.34,2022
Newcastle-under-Lyme,Doxycycline,Antibiotics,206,3059.39,24,107,2.14,2023
Cannock Chase,Naproxen,General Medicine,332,3241.62,14,187,1.44,2023
Stafford and Surroundings,Olanzapine,Mental Health,351,2958.62,20,179,2.39,2023
Cannock Chase,Aspirin,General Medicine,509,,21,139,2.39,2022
Cannock Chase,Pregabalin,General Medicine,427,3565.47,18,90,2.16,2022
Newcastle-under-Lyme,Clopidogrel,Cardiovascular,454,4562.36,23,203,1.36,2022
Newcastle-under-Lyme,Amoxicillin,Antibiotics,480,4362.49,18,92,1.64,2022
Stoke-on-Trent,Gabapentin,General Medicine,124,1734.15,15,169,1.81,2024
East Staffordshire,Nitrofurantoin,Antibiotics,228,4600.43,16,219,1.74,2022
Cannock Chase,Tramadol,General Medicine,518,2944.88,26,120,2.45,2022
Newcastle-under-Lyme,Furosemide,Cardiovascular,409,2131.66,26,110,1.97,2022
East Staffordshire,Losartan,Cardiovascular,367,3774.81,26,212,1.69,2024
Stafford and Surroundings,Aspirin,General Medicine,243,1540.82,26,153,1.85,2024
East Staffordshire,Atorvastatin,Cardiovascular,507,991.45,28,149,1.88,2022
Newcastle-under-Lyme,Insulin Glargine,General Medicine,57,4896.76,10,96,1.49,2024
East Staffordshire,Ramipril,Cardiovascular,100,610.13,10,131,1.51,2023
East Staffordshire,Cetirizine,General Medicine,501,1291.54,29,204,1.38,2023
Stafford and Surroundings,Montelukast,General Medicine,200,1687.55,28,151,1.44,2022
Cannock Chase,Aspirin,General Medicine,572,4474.09,19,169,1.67,2024
Stoke-on-Trent,Bisoprolol,Cardiovascular,275,4170.21,21,138,2.43,2023
East Staffordshire,Doxycycline,Antibiotics,177,659.77,26,153,1.23,2023
Stoke-on-Trent,Salbutamol,General Medicine,327,2754.01,20,43,1.37,2022
Stafford and Surroundings,Nitrofurantoin,Antibiotics,177,,19,139,1.85,2023
Cannock Chase,Fluoxetine,Mental Health,391,2085.72,15,207,1.53,2022
Newcastle-under-Lyme,Simvastatin,Cardiovascular,525,2909.14,23,103,1.66,2023
Stafford and Surroundings,Amoxicillin,Antibiotics,78,505.71,20,79,1.77,2022
Newcastle-under-Lyme,Quetiapine,Mental Health,361,3090.98,10,75,1.9,2024
East Staffordshire,Cetirizine,General Medicine,414,4223.5,20,193,1.82,2022
Newcastle-under-Lyme,Salbutamol,General Medicine,91,1822.55,16,74,2.26,2022
Newcastle-under-Lyme,Losartan,Cardiovascular,93,125.74,26,56,2.44,2024
Newcastle-under-Lyme,Bisoprolol,Cardiovascular,130,2755.31,14,157,2.03,2022
Stafford and Surroundings,Aspirin,General Medicine,538,2498.18,22,65,1.25,2023
Newcastle-under-Lyme,Sertraline,Mental Health,135,4633.72,16,53,1.36,2024
East Staffordshire,Salbutamol,General Medicine,526,1043.74,27,155,2.3,2023
East Staffordshire,Quetiapine,Mental Health,237,281.34,22,137,2.35,2024
Stoke-on-Trent,Olanzapine,Mental Health,565,2261.06,22,200,2.35,2023
East Staffordshire,Paracetamol,General Medicine,190,219.56,27,199,2.41,2024
Stoke-on-Trent,Quetiapine,Mental Health,526,146.48,21,55,2.34,2024
Cannock Chase,Ibuprofen,General Medicine,438,549.33,10,216,1.34,2023
Newcastle-under-Lyme,Losartan,Cardiovascular,481,4278.83,10,112,1.34,2022
Newcastle-under-Lyme,Doxycycline,Antibiotics,110,709.74,14,210,1.97,2024
Stoke-on-Trent,Doxycycline,Antibiotics,359,2390.27,28,149,1.5,2023
Newcastle-under-Lyme,Gabapentin,General Medicine,103,279.99,24,216,1.87,2023
East Staffordshire,Cetirizine,General Medicine,209,3815.37,12,52,1.49,2024
Stafford and Surroundings,Co-codamol,General Medicine,316,3005.41,18,106,1.55,2022
Stafford and Surroundings,Salbutamol,General Medicine,570,317.45,24,79,2.41,2024
East Staffordshire,Nitrofurantoin,Antibiotics,225,2101.42,27,76,1.49,2022
Newcastle-under-Lyme,Morphine Sulfate,General Medicine,273,473.04,28,106,1.65,2023
East Staffordshire,Olanzapine,Mental Health,385,2872.09,17,131,2.31,2024
Stafford and Surroundings,Levothyroxine,General Medicine,405,4201.37,15,46,2.35,2022
East Staffordshire,Montelukast,General Medicine,486,4146.5,16,198,1.2,2023
Stafford and Surroundings,Codeine,General Medicine,273,3807.52,22,85,1.62,2022
Newcastle-under-Lyme,Fluoxetine,Mental Health,375,667.63,28,197,1.22,2022
Newcastle-under-Lyme,Hydrocortisone,General Medicine,327,4216.6,13,187,2.09,2023
Stoke-on-Trent,Atorvastatin,Cardiovascular,71,1574.72,27,89,2.49,2024
Cannock Chase,Tramadol,General Medicine,430,2285.2,21,46,1.29,2022
East Staffordshire,Amlodipine,Cardiovascular,587,1921.98,11,213,1.81,2022
Newcastle-under-Lyme,Cetirizine,General Medicine,206,2311.8,20,155,2.29,2024
East Staffordshire,Codeine,General Medicine,431,1227.26,21,131,2.15,2024
East Staffordshire,Sertraline,Mental Health,502,4301.06,12,40,1.62,2023
Stoke-on-Trent,Citalopram,Mental Health,573,3754.6,27,54,1.81,2024
Newcastle-under-Lyme,Ramipril,Cardiovascular,358,880.3,17,118,1.79,2023
Newcastle-under-Lyme,Simvastatin,Cardiovascular,585,3168.48,12,187,2.24,2022
Cannock Chase,Losartan,Cardiovascular,570,674.81,15,215,1.84,2024
East Staffordshire,Clopidogrel,Cardiovascular,113,2951.66,22,111,1.8,2023
East Staffordshire,Aspirin,General Medicine,350,2451.7,10,141,2.38,2024
Cannock Chase,Clopidogrel,Cardiovascular,95,3770.89,24,119,1.83,2022
Stoke-on-Trent,Ibuprofen,General Medicine,51,3901.44,10,72,2.35,2023
Stafford and Surroundings,Azithromycin,Antibiotics,215,4140.12,16,129,2.1,2023
Stoke-on-Trent,Citalopram,Mental Health,366,1080.74,12,162,1.24,2023
Stafford and Surroundings,Salbutamol,General Medicine,313,354.66,17,217,2.01,2023
Stafford and Surroundings,Simvastatin,Cardiovascular,71,3338.02,12,166,1.88,2023
Cannock Chase,Codeine,General Medicine,586,499.99,22,161,1.63,2023
Newcastle-under-Lyme,Diazepam,Mental Health,337,3746.97,28,83,1.92,2023
Stoke-on-Trent,Warfarin,Cardiovascular,108,1219.43,12,195,1.46,2024
Cannock Chase,Tramadol,General Medicine,208,2150.16,29,76,1.65,2023
East Staffordshire,Furosemide,Cardiovascular,469,2573.74,11,105,1.98,2023
Newcastle-under-Lyme,Quetiapine,Mental Health,317,1456.46,12,57,2.02,2024
Stafford and Surroundings,Azithromycin,Antibiotics,575,744.68,23,41,1.44,2022
Cannock Chase,Methotrexate,General Medicine,430,2512.16,24,53,1.87,2022
East Staffordshire,Furosemide,Cardiovascular,77,3005.46,11,202,2.05,2024
Newcastle-under-Lyme,Amoxicillin,Antibiotics,352,3890.02,20,49,1.3,2023
Stoke-on-Trent,Sertraline,Mental Health,306,2646.89,14,59,1.96,2022
Newcastle-under-Lyme,Furosemide,Cardiovascular,253,1958.86,14,88,2.3,2024
Cannock Chase,Citalopram,Mental Health,383,2834.89,11,76,2.42,2022
Newcastle-under-Lyme,Amoxicillin,Antibiotics,108,698.34,14,200,1.86,2023
East Staffordshire,Bisoprolol,Cardiovascular,175,826.88,11,89,2.47,2024
Cannock Chase,Montelukast,General Medicine,343,1345.7,29,190,1.24,2022
Stafford and Surroundings,Sertraline,Mental Health,390,4705.12,10,47,1.4,2023
Stoke-on-Trent,Omeprazole,General Medicine,360,4820.4,20,197,1.85,2022
Cannock Chase,Gabapentin,General Medicine,394,4357.63,23,72,1.98,2024
Stoke-on-Trent,Sertraline,Mental Health,269,4151.51,11,102,2.47,2022
Newcastle-under-Lyme,Co-codamol,General Medicine,208,4366.69,18,107,2.05,2023
Stafford and Surroundings,Atorvastatin,Cardiovascular,446,3371.21,18,62,1.77,2024
Stoke-on-Trent,Amoxicillin,Antibiotics,114,689.02,21,182,2.1,2022
East Staffordshire,Co-codamol,General Medicine,151,3022.78,20,138,1.42,2023
Newcastle-under-Lyme,Ibuprofen,General Medicine,377,3820.79,25,195,1.23,2023
Newcastle-under-Lyme,Co-codamol,General Medicine,349,1962.96,13,54,1.71,2024
East Staffordshire,Amlodipine,Cardiovascular,70,3759.69,20,119,2.04,2024
Cannock Chase,Co-codamol,General Medicine,190,3308.0,28,73,1.42,2022
Stafford and Surroundings,Naproxen,General Medicine,469,4655.07,27,41,1.55,2023
Cannock Chase,Co-codamol,General Medicine,88,2660.16,22,198,2.12,2022
Stoke-on-Trent,Diazepam,Mental Health,221,2180.18,22,145,1.35,2022
Stoke-on-Trent,Clopidogrel,Cardiovascular,75,4114.03,18,54,1.99,2023
East Staffordshire,Ramipril,Cardiovascular,342,3872.73,13,89,2.15,2024
Stafford and Surroundings,Ibuprofen,General Medicine,488,4066.7,27,108,1.42,2024
Newcastle-under-Lyme,Nitrofurantoin,Antibiotics,468,2417.17,16,199,2.03,2022
Stoke-on-Trent,Codeine,General Medicine,369,3196.88,12,46,2.1,2024
Cannock Chase,Quetiapine,Mental Health,351,,28,107,2.14,2023
Newcastle-under-Lyme,Hydrocortisone,General Medicine,402,1443.39,13,170,1.72,2022
Stoke-on-Trent,Amlodipine,Cardiovascular,566,1839.48,21,66,2.03,2023
Newcastle-under-Lyme,Ramipril,Cardiovascular,107,3289.3,12,125,2.07,2024
Cannock Chase,Paracetamol,General Medicine,313,1878.43,21,75,2.45,2022
Stafford and Surroundings,Montelukast,General Medicine,495,3798.71,25,51,1.65,2024
East Staffordshire,Sertraline,Mental Health,153,1974.38,14,143,2.2,2022
Stafford and Surroundings,Losartan,Cardiovascular,505,2652.69,16,71,1.37,2023
Stafford and Surroundings,Nitrofurantoin,Antibiotics,410,409.23,11,114,2.27,2023
East Staffordshire,Insulin Glargine,General Medicine,455,4717.7,20,182,2.49,2022
Stafford and Surroundings,Bisoprolol,Cardiovascular,478,4659.92,12,197,2.34,2023
Cannock Chase,Codeine,General Medicine,575,4049.03,18,182,1.72,2023
Cannock Chase,Naproxen,General Medicine,315,3505.26,11,64,1.82,2022
Newcastle-under-Lyme,Diazepam,Mental Health,485,3071.22,12,208,2.27,2022
Stoke-on-Trent,Nitrofurantoin,Antibiotics,128,,13,212,1.91,2022
Cannock Chase,Montelukast,General Medicine,496,2580.1,15,199,1.48,2023
East Staffordshire,Paracetamol,General Medicine,566,3285.99,28,201,1.8,2023
Stoke-on-Trent,Lansoprazole,General Medicine,132,3795.84,18,138,1.3,2023
Cannock Chase,Simvastatin,Cardiovascular,150,3491.59,16,163,1.6,2023
Newcastle-under-Lyme,Quetiapine,Mental Health,532,3649.16,16,194,1.74,2023
Stafford and Surroundings,Simvastatin,Cardiovascular,454,3694.71,15,118,1.96,2024
Stafford and Surroundings,Quetiapine,Mental Health,291,3132.85,22,121,1.28,2022
Newcastle-under-Lyme,Cetirizine,General Medicine,357,1402.67,13,73,1.62,2023
Newcastle-under-Lyme,Olanzapine,Mental Health,471,4072.36,19,60,2.44,2022
Stafford and Surroundings,Fluoxetine,Mental Health,78,3327.59,10,49,2.41,2022
East Staffordshire,Morphine Sulfate,General Medicine,249,3222.29,26,118,2.36,2024
Cannock Chase,Doxycycline,Antibiotics,498,4424.05,14,47,1.25,2022
East Staffordshire,Insulin Glargine,General Medicine,66,3609.98,14,187,2.16,2023
East Staffordshire,Montelukast,General Medicine,440,1553.02,28,67,1.66,2023
Stafford and Surroundings,Omeprazole,General Medicine,599,2793.12,24,151,2.46,2024
Stafford and Surroundings,Ramipril,Cardiovascular,512,3869.19,27,88,1.53,2023
Stafford and Surroundings,Co-codamol,General Medicine,198,,13,179,1.82,2023
Cannock Chase,Levothyroxine,General Medicine,275,2953.87,20,49,1.64,2023
Cannock Chase,Salbutamol,General Medicine,463,1923.62,29,211,1.46,2023
Stoke-on-Trent,Prednisolone,General Medicine,282,1500.94,24,57,2.03,2023
Cannock Chase,Prednisolone,General Medicine,252,4894.15,20,128,2.42,2022
Cannock Chase,Levothyroxine,General Medicine,332,907.59,27,134,1.83,2024
Newcastle-under-Lyme,Doxycycline,Antibiotics,402,1777.68,12,157,1.93,2022
Newcastle-under-Lyme,Losartan,Cardiovascular,160,4379.28,17,145,1.93,2022
East Staffordshire,Omeprazole,General Medicine,273,4419.11,19,137,1.47,2023
East Staffordshire,Prednisolone,General Medicine,115,3692.05,18,151,2.22,2023
Stoke-on-Trent,Gabapentin,General Medicine,467,4215.82,29,114,2.18,2024
Cannock Chase,Amlodipine,Cardiovascular,430,4395.59,13,59,2.21,2023
Newcastle-under-Lyme,Cetirizine,General Medicine,251,775.33,15,213,1.66,2022
Newcastle-under-Lyme,Furosemide,Cardiovascular,575,2071.4,12,119,1.49,2023
Cannock Chase,Doxycycline,Antibiotics,109,3414.69,28,88,2.03,2024
Stafford and Surroundings,Clopidogrel,Cardiovascular,166,3507.54,13,58,1.77,2023
East Staffordshire,Azithromycin,Antibiotics,525,534.14,24,96,2.41,2022
East Staffordshire,Azithromycin,Antibiotics,448,2164.12,15,86,2.29,2024
Stoke-on-Trent,Quetiapine,Mental Health,549,2902.17,19,89,1.41,2024
Stoke-on-Trent,Losartan,Cardiovascular,475,4175.32,12,85,1.49,2022
Newcastle-under-Lyme,Tramadol,General Medicine,123,2362.49,14,139,1.37,2023
Stoke-on-Trent,Quetiapine,Mental Health,231,4529.18,23,99,1.37,2022
Newcastle-under-Lyme,Montelukast,General Medicine,457,4620.85,21,145,1.57,2024
Stafford and Surroundings,Cetirizine,General Medicine,449,1450.5,19,109,1.28,2022
Stafford and Surroundings,Diazepam,Mental Health,490,264.71,13,217,1.73,2024
East Staffordshire,Amlodipine,Cardiovascular,197,,24,215,2.42,2023
Stoke-on-Trent,Gabapentin,General Medicine,214,2152.09,27,108,2.05,2023
Stoke-on-Trent,Pregabalin,General Medicine,433,2870.12,21,208,1.23,2022
Stoke-on-Trent,Atorvastatin,Cardiovascular,403,2148.15,20,208,2.23,2022
Stafford and Surroundings,Fluoxetine,Mental Health,566,3103.21,11,61,2.3,2023
Newcastle-under-Lyme,Ibuprofen,General Medicine,135,2365.25,21,127,2.22,2023
Stoke-on-Trent,Ibuprofen,General Medicine,81,4892.5,16,60,1.41,2024
Newcastle-under-Lyme,Atorvastatin,Cardiovascular,128,3808.08,29,131,1.53,2022
Stafford and Surroundings,Olanzapine,Mental Health,303,4926.45,12,83,1.9,2024
East Staffordshire,Amlodipine,Cardiovascular,227,1922.47,20,186,1.77,2024
Cannock Chase,Bisoprolol,Cardiovascular,346,2664.32,13,124,1.61,2022
Stafford and Surroundings,Citalopram,Mental Health,517,4583.94,15,51,1.42,2024
Stoke-on-Trent,Metformin,General Medicine,269,4496.21,10,47,2.36,2024
East Staffordshire,Pregabalin,General Medicine,593,2257.58,18,51,2.16,2024
Newcastle-under-Lyme,Sertraline,Mental Health,582,4943.24,22,201,1.42,2023
Newcastle-under-Lyme,Montelukast,General Medicine,586,3315.06,12,136,1.24,2023
Newcastle-under-Lyme,Gabapentin,General Medicine,525,489.09,18,155,2.39,2023
Stafford and Surroundings,Warfarin,Cardiovascular,413,3821.95,21,170,2.34,2023
Stafford and Surroundings,Gabapentin,General Medicine,239,1297.27,10,202,1.38,2022
Stoke-on-Trent,Aspirin,General Medicine,338,3769.25,29,164,2.08,2023
Stoke-on-Trent,Cetirizine,General Medicine,173,3463.0,10,126,1.3,2024
Newcastle-under-Lyme,Atorvastatin,Cardiovascular,276,4345.29,23,181,2.37,2022
Stafford and Surroundings,Quetiapine,Mental Health,164,4056.24,10,173,2.07,2024
Cannock Chase,Naproxen,General Medicine,550,2009.82,17,74,1.74,2024
Stafford and Surroundings,Codeine,General Medicine,132,,23,218,2.27,2024
Stoke-on-Trent,Salbutamol,General Medicine,424,4213.36,28,214,1.78,2023
Stoke-on-Trent,Diazepam,Mental Health,425,573.02,29,128,2.27,2022
Stoke-on-Trent,Cetirizine,General Medicine,117,1209.12,17,41,2.07,2023
Newcastle-under-Lyme,Clopidogrel,Cardiovascular,111,4472.28,26,215,1.25,2024
Newcastle-under-Lyme,Lansoprazole,General Medicine,374,4977.64,25,59,1.49,2022
Stoke-on-Trent,Salbutamol,General Medicine,531,4557.17,10,47,1.87,2024
Stoke-on-Trent,Olanzapine,Mental Health,75,1653.04,29,132,1.42,2022
Cannock Chase,Methotrexate,General Medicine,504,2999.32,13,189,2.22,2024
East Staffordshire,Clopidogrel,Cardiovascular,410,1387.11,10,111,2.02,2023
Cannock Chase,Clopidogrel,Cardiovascular,311,1346.52,17,163,1.81,2022
East Staffordshire,Tramadol,General Medicine,481,2417.56,22,123,1.47,2022
East Staffordshire,Methotrexate,General Medicine,453,,10,129,1.8,2022
Stoke-on-Trent,Salbutamol,General Medicine,232,4101.74,18,78,1.84,2024
Newcastle-under-Lyme,Warfarin,Cardiovascular,50,2307.93,17,147,2.15,2022
Stafford and Surroundings,Bisoprolol,Cardiovascular,152,3405.58,14,47,2.32,2023
Stoke-on-Trent,Insulin Glargine,General Medicine,373,3616.1,10,166,2.06,2022
Stoke-on-Trent,Warfarin,Cardiovascular,381,3021.98,28,182,2.17,2023
East Staffordshire,Tramadol,General Medicine,315,3425.48,23,90,2.39,2022
East Staffordshire,Quetiapine,Mental Health,563,4381.12,15,170,1.89,2023
East Staffordshire,Fluoxetine,Mental Health,360,3504.92,22,140,1.36,2022
Cannock Chase,Montelukast,General Medicine,326,2386.38,20,185,1.73,2022
Cannock Chase,Salbutamol,General Medicine,413,1600.94,11,71,2.27,2024
Stafford and Surroundings,Insulin Glargine,General Medicine,167,1662.45,13,163,2.09,2024
Cannock Chase,Nitrofurantoin,Antibiotics,470,917.61,10,86,1.4,2022
East Staffordshire,Ibuprofen,General Medicine,528,3264.53,20,88,1.33,2022
Cannock Chase,Ramipril,Cardiovascular,535,1886.51,10,70,2.09,2022
East Staffordshire,Omeprazole,General Medicine,124,1219.59,22,43,1.33,2023
East Staffordshire,Naproxen,General Medicine,174,,24,69,1.37,2023
Cannock Chase,Pregabalin,General Medicine,250,4784.0,26,68,1.57,2024
Cannock Chase,Fluoxetine,Mental Health,118,1989.01,14,88,1.89,2022
East Staffordshire,Clopidogrel,Cardiovascular,403,1309.85,22,90,1.43,2022
East Staffordshire,Prednisolone,General Medicine,434,4835.45,12,180,2.01,2024
Cannock Chase,Diazepam,Mental Health,153,2068.72,28,204,2.15,2022
East Staffordshire,Fluoxetine,Mental Health,166,3583.34,11,50,1.66,2024
Cannock Chase,Bisoprolol,Cardiovascular,566,286.11,26,59,1.81,2023
Stafford and Surroundings,Bisoprolol,Cardiovascular,353,4851.08,21,91,2.32,2024
East Staffordshire,Diazepam,Mental Health,548,1500.34,27,218,2.36,2024
Cannock Chase,Aspirin,General Medicine,414,2272.93,12,87,2.49,2022
East Staffordshire,Fluoxetine,Mental Health,372,3236.97,14,52,2.46,2022
Newcastle-under-Lyme,Montelukast,General Medicine,369,3696.75,25,208,1.56,2023
Stafford and Surroundings,Losartan,Cardiovascular,162,143.43,17,110,1.2,2024
Newcastle-under-Lyme,Amoxicillin,Antibiotics,190,1774.73,17,175,2.2,2022
Stoke-on-Trent,Amoxicillin,Antibiotics,433,4245.02,13,197,1.23,2024
Newcastle-under-Lyme,Cetirizine,General Medicine,339,2790.74,22,100,1.33,2023
